dataset,variant,accuracy,precision,recall,f1
MNIST,baseline_model,0.9917,0.9916376774753622,0.9916218609981471,0.991622521437549
MNIST,third_conv_layer_without_adjustment,0.9903,0.9903019500174599,0.9901388573252646,0.9901762502814684
MNIST,increased_width_layers,0.9935,0.9935168212652169,0.9934506010232479,0.993475389060624
MNIST,without_batch_normalization,0.9897,0.9898722216415428,0.989524004168295,0.9896810313639242
MNIST,large_kernel_sizes,0.9934,0.9934438422094068,0.9932873909527968,0.9933475387293713
ORL,baseline_model,0.9,0.85,0.9,0.8666666666666666
ORL,third_conv_layer_without_adjustment,0.875,0.825,0.875,0.8416666666666666
ORL,increased_width_layers,0.825,0.7666666666666666,0.825,0.7833333333333333
ORL,without_batch_normalization,0.9,0.85,0.9,0.8666666666666666
ORL,large_kernel_sizes,0.55,0.4041666666666666,0.55,0.44499999999999995
CIFAR,baseline_model,0.731,0.7378283206423369,0.7310000000000001,0.7305390872175153
CIFAR,third_conv_layer_without_adjustment,0.7156,0.7444162314486932,0.7155999999999999,0.7183386626104171
CIFAR,increased_width_layers,0.7669,0.7679429172185113,0.7668999999999999,0.7653535231514981
CIFAR,without_batch_normalization,0.723,0.7287190768019213,0.7230000000000001,0.7240667050155982
CIFAR,large_kernel_sizes,0.7392,0.7494743147883433,0.7392000000000001,0.7382186545875727
